"data_wide_new$CAMIS","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33"
40366002,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,12,12,13,13,9,9,4,4
40366054,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,4,9,10,10,4
40366109,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,9,9,9,9
40366132,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,12,12,10,7
40366154,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,13,13,13,13,3,13,13,10
40366162,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,2,10,7,7
40366222,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,7,12,12,19,12,12,9,7,19,12,19,9
40366230,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,12,33,13,13,12,33,13,13,13,12
40366356,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,7,13,13,9,7,13,13,13,9,13
40366361,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,5,13,12,13,12,11,13,12
40366379,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,12,13,12,12,5,7,7,5
40366381,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,5,11,11,11,12
40366396,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,11,13,12,11,19,17,17,19,11,12,19,13,13,19,17
40366425,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,13,10,13,10
40366471,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,13,12,12,12,12
40366473,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,5,11,12,11
40366487,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,13,13,9,9,13,9
40366497,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5
40366543,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,22,12,12,14,22,22,15,22,9,22,9,15
40366549,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,13,13,9,16,16,16,13
40366574,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,11,11,12,8,8
40366586,22,22,22,22,22,22,22,22,22,22,8,8,12,40,13,40,40,14,40,13,14,40,40,14,12,12,14,14,8,13,13,40,40
40366652,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,9
40366661,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,26,12,12,26,19,12,26,19,26,12,26,7,12,19,7
40366711,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,12,10,13,12,10,13,13
40366716,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,5,12,12,10,5,13,12,12,12,13,10,12
40366742,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,10,13,13,13,13,10,13,12,13,13,12,12
40366748,16,16,16,16,16,16,16,22,17,13,10,19,9,9,17,13,18,22,19,13,19,18,18,10,17,17,22,9,19,22,22,17,17
40366812,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,12,11,12,12,11,12,12
40366833,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,13,13
40366857,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,2
40366879,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,25,15,8,25,15,12,12,13,25,25,25,8,12,13,25
40366928,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,9,13,13,13,13,13,9,9,9
40366929,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,13,7,35,7,35,5,35,13
40366938,26,26,26,26,26,21,21,34,34,23,21,23,23,21,23,21,19,34,34,34,23,23,34,19,21,19,34,19,34,23,34,23,23
40366961,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,3,20,20,7,20,12,20,12,7
40366993,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,6,13,13,9,9
